# EPOCH, LOSS, VAL_LOSS, ACCURACY, VAL_ACCURACY
1,0.4833488166332245,0.08039139956235886,0.8768871426582336,0.9808775782585144 
2,0.12623664736747742,0.07537870854139328,0.9747712016105652,0.982850193977356 
3,0.11034561693668365,0.07277897745370865,0.9785948395729065,0.9837242364883423 
4,0.10023507475852966,0.07001626491546631,0.9810643196105957,0.985035240650177 
5,0.09115902334451675,0.06784836202859879,0.9830895662307739,0.9859517812728882 
6,0.08468446880578995,0.06642904877662659,0.9846338033676147,0.9866619110107422 
7,0.07846575975418091,0.06486106663942337,0.9862778782844543,0.9874085187911987 
8,0.07315068691968918,0.06436245888471603,0.987610936164856,0.9875208139419556 
9,0.06938835978507996,0.0638786181807518,0.9887004494667053,0.987957775592804 
10,0.06634201109409332,0.06298816204071045,0.9894541501998901,0.9885314106941223 
